O1_adsorb_site,O2_adsorb_site,slab,E_OCHO*,G_OCHO*,E_CO2,G_CO2,EH2,G_H2,deta_E_OCHO*,ZPE_OCHO,CpOCHO,TsOCHO,Correction_COOH*,deta_G_OCHO,sol,final,Nearest_Atom
1_Bi_0,1_La_39,-438.05173,-467.10006,-466.61006,-22.51,-22.76,-7.04,-7.03,-3.01833,0.62,0.11,-0.24,0.49,-2.38333,-0.1,-2.38333,La
1_Bi_0,2_La_44,-438.05173,-466.84842,-466.35842,-22.51,-22.76,-7.04,-7.03,-2.76669,0.62,0.11,-0.24,0.49,-2.13169,-0.1,-2.13169,La
1_Bi_0,3_Sn_47,-438.05173,-464.56212,-464.07212,-22.51,-22.76,-7.04,-7.03,-0.48039,0.62,0.11,-0.24,0.49,0.15461,-0.1,0.15461,Sn
1_Bi_0,4_Sn_48,-438.05173,-464.63916,-464.14916,-22.51,-22.76,-7.04,-7.03,-0.55743,0.62,0.11,-0.24,0.49,0.07757,-0.1,0.07757,Sn
1_Bi_0,5_Sn_49,-438.05173,-464.74801,-464.25801,-22.51,-22.76,-7.04,-7.03,-0.66628,0.62,0.11,-0.24,0.49,-0.03128,-0.1,-0.03128,Sn
2_Bi_1,1_Bi_3,-438.05173,-464.53508,-464.04508,-22.51,-22.76,-7.04,-7.03,-0.45335,0.62,0.11,-0.24,0.49,0.18165,-0.1,0.18165,Sn
2_Bi_1,2_Bi_5,-438.05173,-464.51323,-464.02323,-22.51,-22.76,-7.04,-7.03,-0.4315,0.62,0.11,-0.24,0.49,0.2035,-0.1,0.2035,Sn
2_Bi_1,3_Bi_19,-438.05173,-464.57485,-464.08485,-22.51,-22.76,-7.04,-7.03,-0.49312,0.62,0.11,-0.24,0.49,0.14188,-0.1,0.14188,Bi
2_Bi_1,4_La_35,-438.05173,-465.14396,-464.65396,-22.51,-22.76,-7.04,-7.03,-1.06223,0.62,0.11,-0.24,0.49,-0.42723,-0.1,-0.42723,La
2_Bi_1,5_Sn_52,-438.05173,-464.22533,-463.73533,-22.51,-22.76,-7.04,-7.03,-0.1436,0.62,0.11,-0.24,0.49,0.4914,-0.1,0.4914,Sn
2_Bi_1,6_Sn_57,-438.05173,-464.51323,-464.02323,-22.51,-22.76,-7.04,-7.03,-0.4315,0.62,0.11,-0.24,0.49,0.2035,-0.1,0.2035,Sn
2_Bi_1,7_Sn_62,-438.05173,-465.32454,-464.83454,-22.51,-22.76,-7.04,-7.03,-1.24281,0.62,0.11,-0.24,0.49,-0.60781,-0.1,-0.60781,Sn
3_Bi_2,1_La_23,-438.05173,-466.54635,-466.05635,-22.51,-22.76,-7.04,-7.03,-2.46462,0.62,0.11,-0.24,0.49,-1.82962,-0.1,-1.82962,La
3_Bi_2,2_La_28,-438.05173,-466.37768,-465.88768,-22.51,-22.76,-7.04,-7.03,-2.29595,0.62,0.11,-0.24,0.49,-1.66095,-0.1,-1.66095,La
3_Bi_2,3_La_33,-438.05173,-466.51232,-466.02232,-22.51,-22.76,-7.04,-7.03,-2.43059,0.62,0.11,-0.24,0.49,-1.79559,-0.1,-1.79559,La
3_Bi_2,4_La_38,-438.05173,-466.39336,-465.90336,-22.51,-22.76,-7.04,-7.03,-2.31163,0.62,0.11,-0.24,0.49,-1.67663,-0.1,-1.67663,La
3_Bi_2,5_Sn_60,-438.05173,-466.33996,-465.84996,-22.51,-22.76,-7.04,-7.03,-2.25823,0.62,0.11,-0.24,0.49,-1.62323,-0.1,-1.62323,La
4_Bi_3,1_Bi_7,-438.05173,-466.71299,-466.22299,-22.51,-22.76,-7.04,-7.03,-2.63126,0.62,0.11,-0.24,0.49,-1.99626,-0.1,-1.99626,La
4_Bi_3,2_La_42,-438.05173,-465.58069,-465.09069,-22.51,-22.76,-7.04,-7.03,-1.49896,0.62,0.11,-0.24,0.49,-0.86396,-0.1,-0.86396,La
4_Bi_3,3_Sn_52,-438.05173,-464.46434,-463.97434,-22.51,-22.76,-7.04,-7.03,-0.38261,0.62,0.11,-0.24,0.49,0.25239,-0.1,0.25239,Sn
4_Bi_3,4_Sn_57,-438.05173,-464.53666,-464.04666,-22.51,-22.76,-7.04,-7.03,-0.45493,0.62,0.11,-0.24,0.49,0.18007,-0.1,0.18007,Sn
5_Bi_5,1_La_22,-438.05173,-466.15961,-465.66961,-22.51,-22.76,-7.04,-7.03,-2.07788,0.62,0.11,-0.24,0.49,-1.44288,-0.1,-1.44288,La
5_Bi_5,2_Sn_52,-438.05173,-466.77285,-466.28285,-22.51,-22.76,-7.04,-7.03,-2.69112,0.62,0.11,-0.24,0.49,-2.05612,-0.1,-2.05612,La
5_Bi_5,3_Sn_59,-438.05173,-466.85501,-466.36501,-22.51,-22.76,-7.04,-7.03,-2.77328,0.62,0.11,-0.24,0.49,-2.13828,-0.1,-2.13828,La
5_Bi_5,4_Sn_62,-438.05173,-465.6711,-465.1811,-22.51,-22.76,-7.04,-7.03,-1.58937,0.62,0.11,-0.24,0.49,-0.95437,-0.1,-0.95437,La
6_Bi_6,1_Bi_19,-438.05173,-464.01723,-463.52723,-22.51,-22.76,-7.04,-7.03,0.0645,0.62,0.11,-0.24,0.49,0.6995,-0.1,0.6995,Bi
6_Bi_6,2_La_34,-438.05173,-465.64665,-465.15665,-22.51,-22.76,-7.04,-7.03,-1.56492,0.62,0.11,-0.24,0.49,-0.92992,-0.1,-0.92992,La
6_Bi_6,3_La_35,-438.05173,-465.30379,-464.81379,-22.51,-22.76,-7.04,-7.03,-1.22206,0.62,0.11,-0.24,0.49,-0.58706,-0.1,-0.58706,La
6_Bi_6,4_La_41,-438.05173,-465.89402,-465.40402,-22.51,-22.76,-7.04,-7.03,-1.81229,0.62,0.11,-0.24,0.49,-1.17729,-0.1,-1.17729,La
6_Bi_6,5_Sn_50,-438.05173,-465.63832,-465.14832,-22.51,-22.76,-7.04,-7.03,-1.55659,0.62,0.11,-0.24,0.49,-0.92159,-0.1,-0.92159,La
6_Bi_6,6_Sn_51,-438.05173,-465.78193,-465.29193,-22.51,-22.76,-7.04,-7.03,-1.7002,0.62,0.11,-0.24,0.49,-1.0652,-0.1,-1.0652,Sn
7_Bi_7,1_La_22,-438.05173,-466.76502,-466.27502,-22.51,-22.76,-7.04,-7.03,-2.68329,0.62,0.11,-0.24,0.49,-2.04829,-0.1,-2.04829,La
7_Bi_7,2_La_42,-438.05173,-466.70332,-466.21332,-22.51,-22.76,-7.04,-7.03,-2.62159,0.62,0.11,-0.24,0.49,-1.98659,-0.1,-1.98659,La
7_Bi_7,3_La_43,-438.05173,-466.66103,-466.17103,-22.51,-22.76,-7.04,-7.03,-2.5793,0.62,0.11,-0.24,0.49,-1.9443,-0.1,-1.9443,La
7_Bi_7,4_Sn_52,-438.05173,-465.67439,-465.18439,-22.51,-22.76,-7.04,-7.03,-1.59266,0.62,0.11,-0.24,0.49,-0.95766,-0.1,-0.95766,La
8_Bi_9,3_La_38,-438.05173,-466.3949,-465.9049,-22.51,-22.76,-7.04,-7.03,-2.31317,0.62,0.11,-0.24,0.49,-1.67817,-0.1,-1.67817,La
8_Bi_9,4_Sn_64,-438.05173,-464.65799,-464.16799,-22.51,-22.76,-7.04,-7.03,-0.57626,0.62,0.11,-0.24,0.49,0.05874,-0.1,0.05874,Sn
9_Bi_10,1_La_30,-438.05173,-466.65987,-466.16987,-22.51,-22.76,-7.04,-7.03,-2.57814,0.62,0.11,-0.24,0.49,-1.94314,-0.1,-1.94314,La
9_Bi_10,2_La_38,-438.05173,-466.36931,-465.87931,-22.51,-22.76,-7.04,-7.03,-2.28758,0.62,0.11,-0.24,0.49,-1.65258,-0.1,-1.65258,La
9_Bi_10,3_La_42,-438.05173,-466.61546,-466.12546,-22.51,-22.76,-7.04,-7.03,-2.53373,0.62,0.11,-0.24,0.49,-1.89873,-0.1,-1.89873,La
9_Bi_10,4_La_43,-438.05173,-467.07953,-466.58953,-22.51,-22.76,-7.04,-7.03,-2.9978,0.62,0.11,-0.24,0.49,-2.3628,-0.1,-2.3628,La
9_Bi_10,5_Sn_60,-438.05173,-466.38041,-465.89041,-22.51,-22.76,-7.04,-7.03,-2.29868,0.62,0.11,-0.24,0.49,-1.66368,-0.1,-1.66368,La
10_Bi_13,1_Bi_21,-438.05173,-467.28618,-466.79618,-22.51,-22.76,-7.04,-7.03,-3.20445,0.62,0.11,-0.24,0.49,-2.56945,-0.1,-2.56945,La
10_Bi_13,2_La_34,-438.05173,-465.56795,-465.07795,-22.51,-22.76,-7.04,-7.03,-1.48622,0.62,0.11,-0.24,0.49,-0.85122,-0.1,-0.85122,La
10_Bi_13,3_La_37,-438.05173,-467.28531,-466.79531,-22.51,-22.76,-7.04,-7.03,-3.20358,0.62,0.11,-0.24,0.49,-2.56858,-0.1,-2.56858,La
10_Bi_13,4_La_39,-438.05173,-467.50514,-467.01514,-22.51,-22.76,-7.04,-7.03,-3.42341,0.62,0.11,-0.24,0.49,-2.78841,-0.1,-2.78841,La
10_Bi_13,5_Sn_48,-438.05173,-464.4778,-463.9878,-22.51,-22.76,-7.04,-7.03,-0.39607,0.62,0.11,-0.24,0.49,0.23893,-0.1,0.23893,Sn
11_Bi_14,1_Bi_18,-438.05173,-465.72695,-465.23695,-22.51,-22.76,-7.04,-7.03,-1.64522,0.62,0.11,-0.24,0.49,-1.01022,-0.1,-1.01022,La
11_Bi_14,3_La_28,-438.05173,-466.53392,-466.04392,-22.51,-22.76,-7.04,-7.03,-2.45219,0.62,0.11,-0.24,0.49,-1.81719,-0.1,-1.81719,La
11_Bi_14,4_La_37,-438.05173,-465.53267,-465.04267,-22.51,-22.76,-7.04,-7.03,-1.45094,0.62,0.11,-0.24,0.49,-0.81594,-0.1,-0.81594,La
11_Bi_14,5_Sn_66,-438.05173,-465.76921,-465.27921,-22.51,-22.76,-7.04,-7.03,-1.68748,0.62,0.11,-0.24,0.49,-1.05248,-0.1,-1.05248,La
11_Bi_14,6_Sn_67,-438.05173,-464.77767,-464.28767,-22.51,-22.76,-7.04,-7.03,-0.69594,0.62,0.11,-0.24,0.49,-0.06094,-0.1,-0.06094,Sn
12_Bi_16,1_Bi_17,-438.05173,-464.39949,-463.90949,-22.51,-22.76,-7.04,-7.03,-0.31776,0.62,0.11,-0.24,0.49,0.31724,-0.1,0.31724,Bi
12_Bi_16,2_La_25,-438.05173,-466.0303,-465.5403,-22.51,-22.76,-7.04,-7.03,-1.94857,0.62,0.11,-0.24,0.49,-1.31357,-0.1,-1.31357,La
12_Bi_16,3_La_41,-438.05173,-466.56192,-466.07192,-22.51,-22.76,-7.04,-7.03,-2.48019,0.62,0.11,-0.24,0.49,-1.84519,-0.1,-1.84519,La
12_Bi_16,4_Sn_51,-438.05173,-464.60626,-464.11626,-22.51,-22.76,-7.04,-7.03,-0.52453,0.62,0.11,-0.24,0.49,0.11047,-0.1,0.11047,Sn
12_Bi_16,5_Sn_63,-438.05173,-465.72223,-465.23223,-22.51,-22.76,-7.04,-7.03,-1.6405,0.62,0.11,-0.24,0.49,-1.0055,-0.1,-1.0055,La
13_Bi_17,1_Bi_21,-438.05173,-464.39309,-463.90309,-22.51,-22.76,-7.04,-7.03,-0.31136,0.62,0.11,-0.24,0.49,0.32364,-0.1,0.32364,Bi
13_Bi_17,2_La_34,-438.05173,-465.65526,-465.16526,-22.51,-22.76,-7.04,-7.03,-1.57353,0.62,0.11,-0.24,0.49,-0.93853,-0.1,-0.93853,La
13_Bi_17,3_Sn_51,-438.05173,-464.76219,-464.27219,-22.51,-22.76,-7.04,-7.03,-0.68046,0.62,0.11,-0.24,0.49,-0.04546,-0.1,-0.04546,Sn
13_Bi_17,4_Sn_63,-438.05173,-464.82023,-464.33023,-22.51,-22.76,-7.04,-7.03,-0.7385,0.62,0.11,-0.24,0.49,-0.1035,-0.1,-0.1035,Sn
14_Bi_18,1_La_28,-438.05173,-466.50242,-466.01242,-22.51,-22.76,-7.04,-7.03,-2.42069,0.62,0.11,-0.24,0.49,-1.78569,-0.1,-1.78569,La
14_Bi_18,3_La_37,-438.05173,-467.34805,-466.85805,-22.51,-22.76,-7.04,-7.03,-3.26632,0.62,0.11,-0.24,0.49,-2.63132,-0.1,-2.63132,La
15_Bi_19,1_La_35,-438.05173,-465.03703,-464.54703,-22.51,-22.76,-7.04,-7.03,-0.9553,0.62,0.11,-0.24,0.49,-0.3203,-0.1,-0.3203,La
15_Bi_19,2_La_41,-438.05173,-466.68628,-466.19628,-22.51,-22.76,-7.04,-7.03,-2.60455,0.62,0.11,-0.24,0.49,-1.96955,-0.1,-1.96955,La
15_Bi_19,3_Sn_57,-438.05173,-465.70818,-465.21818,-22.51,-22.76,-7.04,-7.03,-1.62645,0.62,0.11,-0.24,0.49,-0.99145,-0.1,-0.99145,La
16_Bi_20,1_La_28,-438.05173,-466.50602,-466.01602,-22.51,-22.76,-7.04,-7.03,-2.42429,0.62,0.11,-0.24,0.49,-1.78929,-0.1,-1.78929,La
16_Bi_20,2_La_29,-438.05173,-466.89314,-466.40314,-22.51,-22.76,-7.04,-7.03,-2.81141,0.62,0.11,-0.24,0.49,-2.17641,-0.1,-2.17641,La
16_Bi_20,3_La_31,-438.05173,-466.83575,-466.34575,-22.51,-22.76,-7.04,-7.03,-2.75402,0.62,0.11,-0.24,0.49,-2.11902,-0.1,-2.11902,La
16_Bi_20,4_La_33,-438.05173,-465.74704,-465.25704,-22.51,-22.76,-7.04,-7.03,-1.66531,0.62,0.11,-0.24,0.49,-1.03031,-0.1,-1.03031,La
16_Bi_20,5_La_36,-438.05173,-467.10845,-466.61845,-22.51,-22.76,-7.04,-7.03,-3.02672,0.62,0.11,-0.24,0.49,-2.39172,-0.1,-2.39172,La
17_Bi_21,1_La_34,-438.05173,-465.56834,-465.07834,-22.51,-22.76,-7.04,-7.03,-1.48661,0.62,0.11,-0.24,0.49,-0.85161,-0.1,-0.85161,La
17_Bi_21,2_La_37,-438.05173,-467.20608,-466.71608,-22.51,-22.76,-7.04,-7.03,-3.12435,0.62,0.11,-0.24,0.49,-2.48935,-0.1,-2.48935,La
17_Bi_21,3_Sn_67,-438.05173,-464.786,-464.296,-22.51,-22.76,-7.04,-7.03,-0.70427,0.62,0.11,-0.24,0.49,-0.06927,-0.1,-0.06927,Sn
18_La_22,1_La_32,-438.05173,-466.79632,-466.30632,-22.51,-22.76,-7.04,-7.03,-2.71459,0.62,0.11,-0.24,0.49,-2.07959,-0.1,-2.07959,La
18_La_22,2_La_43,-438.05173,-467.1106,-466.6206,-22.51,-22.76,-7.04,-7.03,-3.02887,0.62,0.11,-0.24,0.49,-2.39387,-0.1,-2.39387,La
18_La_22,3_Sn_52,-438.05173,-466.76842,-466.27842,-22.51,-22.76,-7.04,-7.03,-2.68669,0.62,0.11,-0.24,0.49,-2.05169,-0.1,-2.05169,La
18_La_22,4_Sn_58,-438.05173,-466.80704,-466.31704,-22.51,-22.76,-7.04,-7.03,-2.72531,0.62,0.11,-0.24,0.49,-2.09031,-0.1,-2.09031,La
18_La_22,5_Sn_59,-438.05173,-465.76536,-465.27536,-22.51,-22.76,-7.04,-7.03,-1.68363,0.62,0.11,-0.24,0.49,-1.04863,-0.1,-1.04863,La
19_La_23,1_Sn_64,-438.05173,-465.46658,-464.97658,-22.51,-22.76,-7.04,-7.03,-1.38485,0.62,0.11,-0.24,0.49,-0.74985,-0.1,-0.74985,La
19_La_23,2_Sn_66,-438.05173,-465.77306,-465.28306,-22.51,-22.76,-7.04,-7.03,-1.69133,0.62,0.11,-0.24,0.49,-1.05633,-0.1,-1.05633,La
20_La_24,1_La_31,-438.05173,-466.87884,-466.38884,-22.51,-22.76,-7.04,-7.03,-2.79711,0.62,0.11,-0.24,0.49,-2.16211,-0.1,-2.16211,La
20_La_24,2_La_36,-438.05173,-467.14573,-466.65573,-22.51,-22.76,-7.04,-7.03,-3.064,0.62,0.11,-0.24,0.49,-2.429,-0.1,-2.429,La
20_La_24,3_La_44,-438.05173,-466.84877,-466.35877,-22.51,-22.76,-7.04,-7.03,-2.76704,0.62,0.11,-0.24,0.49,-2.13204,-0.1,-2.13204,La
20_La_24,4_Sn_47,-438.05173,-466.78579,-466.29579,-22.51,-22.76,-7.04,-7.03,-2.70406,0.62,0.11,-0.24,0.49,-2.06906,-0.1,-2.06906,La
20_La_24,5_Sn_58,-438.05173,-465.96201,-465.47201,-22.51,-22.76,-7.04,-7.03,-1.88028,0.62,0.11,-0.24,0.49,-1.24528,-0.1,-1.24528,La
20_La_24,6_Sn_59,-438.05173,-466.93701,-466.44701,-22.51,-22.76,-7.04,-7.03,-2.85528,0.62,0.11,-0.24,0.49,-2.22028,-0.1,-2.22028,La
21_La_25,1_La_30,-438.05173,-466.82901,-466.33901,-22.51,-22.76,-7.04,-7.03,-2.74728,0.62,0.11,-0.24,0.49,-2.11228,-0.1,-2.11228,La
21_La_25,2_Sn_54,-438.05173,-466.82172,-466.33172,-22.51,-22.76,-7.04,-7.03,-2.73999,0.62,0.11,-0.24,0.49,-2.10499,-0.1,-2.10499,La
21_La_25,3_Sn_63,-438.05173,-465.73032,-465.24032,-22.51,-22.76,-7.04,-7.03,-1.64859,0.62,0.11,-0.24,0.49,-1.01359,-0.1,-1.01359,La
21_La_25,4_Sn_64,-438.05173,-465.5668,-465.0768,-22.51,-22.76,-7.04,-7.03,-1.48507,0.62,0.11,-0.24,0.49,-0.85007,-0.1,-0.85007,La
21_La_25,5_Sn_66,-438.05173,-465.47835,-464.98835,-22.51,-22.76,-7.04,-7.03,-1.39662,0.62,0.11,-0.24,0.49,-0.76162,-0.1,-0.76162,La
22_La_28,1_La_29,-438.05173,-465.76616,-465.27616,-22.51,-22.76,-7.04,-7.03,-1.68443,0.62,0.11,-0.24,0.49,-1.04943,-0.1,-1.04943,La
22_La_28,2_La_33,-438.05173,-466.51689,-466.02689,-22.51,-22.76,-7.04,-7.03,-2.43516,0.62,0.11,-0.24,0.49,-1.80016,-0.1,-1.80016,La
23_La_29,1_La_31,-438.05173,-466.866,-466.376,-22.51,-22.76,-7.04,-7.03,-2.78427,0.62,0.11,-0.24,0.49,-2.14927,-0.1,-2.14927,La
23_La_29,2_La_37,-438.05173,-467.36759,-466.87759,-22.51,-22.76,-7.04,-7.03,-3.28586,0.62,0.11,-0.24,0.49,-2.65086,-0.1,-2.65086,La
24_La_30,1_La_42,-438.05173,-466.73646,-466.24646,-22.51,-22.76,-7.04,-7.03,-2.65473,0.62,0.11,-0.24,0.49,-2.01973,-0.1,-2.01973,La
24_La_30,2_Sn_54,-438.05173,-467.16627,-466.67627,-22.51,-22.76,-7.04,-7.03,-3.08454,0.62,0.11,-0.24,0.49,-2.44954,-0.1,-2.44954,La
24_La_30,3_Sn_64,-438.05173,-466.81189,-466.32189,-22.51,-22.76,-7.04,-7.03,-2.73016,0.62,0.11,-0.24,0.49,-2.09516,-0.1,-2.09516,La
25_La_31,1_La_36,-438.05173,-467.71627,-467.22627,-22.51,-22.76,-7.04,-7.03,-3.63454,0.62,0.11,-0.24,0.49,-2.99954,-0.1,-2.99954,La
25_La_31,2_La_39,-438.05173,-468.2063,-467.7163,-22.51,-22.76,-7.04,-7.03,-4.12457,0.62,0.11,-0.24,0.49,-3.48957,-0.1,-3.48957,La
25_La_31,3_Sn_47,-438.05173,-467.87274,-467.38274,-22.51,-22.76,-7.04,-7.03,-3.79101,0.62,0.11,-0.24,0.49,-3.15601,-0.1,-3.15601,La
26_La_32,1_La_33,-438.05173,-466.98892,-466.49892,-22.51,-22.76,-7.04,-7.03,-2.90719,0.62,0.11,-0.24,0.49,-2.27219,-0.1,-2.27219,La
26_La_32,2_La_36,-438.05173,-467.49583,-467.00583,-22.51,-22.76,-7.04,-7.03,-3.4141,0.62,0.11,-0.24,0.49,-2.7791,-0.1,-2.7791,La
26_La_32,3_La_43,-438.05173,-466.69792,-466.20792,-22.51,-22.76,-7.04,-7.03,-2.61619,0.62,0.11,-0.24,0.49,-1.98119,-0.1,-1.98119,La
26_La_32,4_Sn_58,-438.05173,-465.89857,-465.40857,-22.51,-22.76,-7.04,-7.03,-1.81684,0.62,0.11,-0.24,0.49,-1.18184,-0.1,-1.18184,La
26_La_32,5_Sn_60,-438.05173,-467.11618,-466.62618,-22.51,-22.76,-7.04,-7.03,-3.03445,0.62,0.11,-0.24,0.49,-2.39945,-0.1,-2.39945,La
27_La_33,1_La_36,-438.05173,-466.7122,-466.2222,-22.51,-22.76,-7.04,-7.03,-2.63047,0.62,0.11,-0.24,0.49,-1.99547,-0.1,-1.99547,La
27_La_33,2_Sn_60,-438.05173,-466.85998,-466.36998,-22.51,-22.76,-7.04,-7.03,-2.77825,0.62,0.11,-0.24,0.49,-2.14325,-0.1,-2.14325,La
28_La_34,1_Sn_50,-438.05173,-465.65852,-465.16852,-22.51,-22.76,-7.04,-7.03,-1.57679,0.62,0.11,-0.24,0.49,-0.94179,-0.1,-0.94179,La
28_La_34,2_Sn_51,-438.05173,-465.86151,-465.37151,-22.51,-22.76,-7.04,-7.03,-1.77978,0.62,0.11,-0.24,0.49,-1.14478,-0.1,-1.14478,La
29_La_35,1_Sn_49,-438.05173,-465.32997,-464.83997,-22.51,-22.76,-7.04,-7.03,-1.24824,0.62,0.11,-0.24,0.49,-0.61324,-0.1,-0.61324,Sn
29_La_35,2_Sn_50,-438.05173,-465.26901,-464.77901,-22.51,-22.76,-7.04,-7.03,-1.18728,0.62,0.11,-0.24,0.49,-0.55228,-0.1,-0.55228,La
29_La_35,4_Sn_62,-438.05173,-465.32592,-464.83592,-22.51,-22.76,-7.04,-7.03,-1.24419,0.62,0.11,-0.24,0.49,-0.60919,-0.1,-0.60919,Sn
30_La_36,1_Sn_58,-438.05173,-467.10734,-466.61734,-22.51,-22.76,-7.04,-7.03,-3.02561,0.62,0.11,-0.24,0.49,-2.39061,-0.1,-2.39061,La
31_La_37,1_La_39,-438.05173,-467.50458,-467.01458,-22.51,-22.76,-7.04,-7.03,-3.42285,0.62,0.11,-0.24,0.49,-2.78785,-0.1,-2.78785,La
31_La_37,2_Sn_67,-438.05173,-465.50857,-465.01857,-22.51,-22.76,-7.04,-7.03,-1.42684,0.62,0.11,-0.24,0.49,-0.79184,-0.1,-0.79184,La
32_La_38,1_Sn_60,-438.05173,-466.39571,-465.90571,-22.51,-22.76,-7.04,-7.03,-2.31398,0.62,0.11,-0.24,0.49,-1.67898,-0.1,-1.67898,La
33_La_39,2_Sn_48,-438.05173,-467.21215,-466.72215,-22.51,-22.76,-7.04,-7.03,-3.13042,0.62,0.11,-0.24,0.49,-2.49542,-0.1,-2.49542,La
34_La_41,1_Sn_51,-438.05173,-465.91011,-465.42011,-22.51,-22.76,-7.04,-7.03,-1.82838,0.62,0.11,-0.24,0.49,-1.19338,-0.1,-1.19338,La
34_La_41,2_Sn_54,-438.05173,-466.67526,-466.18526,-22.51,-22.76,-7.04,-7.03,-2.59353,0.62,0.11,-0.24,0.49,-1.95853,-0.1,-1.95853,La
34_La_41,3_Sn_57,-438.05173,-465.77136,-465.28136,-22.51,-22.76,-7.04,-7.03,-1.68963,0.62,0.11,-0.24,0.49,-1.05463,-0.1,-1.05463,La
35_La_42,1_La_43,-438.05173,-465.36359,-464.87359,-22.51,-22.76,-7.04,-7.03,-1.28186,0.62,0.11,-0.24,0.49,-0.64686,-0.1,-0.64686,La
35_La_42,2_Sn_54,-438.05173,-466.72648,-466.23648,-22.51,-22.76,-7.04,-7.03,-2.64475,0.62,0.11,-0.24,0.49,-2.00975,-0.1,-2.00975,La
35_La_42,3_Sn_57,-438.05173,-465.69833,-465.20833,-22.51,-22.76,-7.04,-7.03,-1.6166,0.62,0.11,-0.24,0.49,-0.9816,-0.1,-0.9816,La
36_La_43,1_Sn_60,-438.05173,-466.66268,-466.17268,-22.51,-22.76,-7.04,-7.03,-2.58095,0.62,0.11,-0.24,0.49,-1.94595,-0.1,-1.94595,La
37_La_44,1_Sn_47,-438.05173,-466.86746,-466.37746,-22.51,-22.76,-7.04,-7.03,-2.78573,0.62,0.11,-0.24,0.49,-2.15073,-0.1,-2.15073,La
37_La_44,2_Sn_49,-438.05173,-465.73875,-465.24875,-22.51,-22.76,-7.04,-7.03,-1.65702,0.62,0.11,-0.24,0.49,-1.02202,-0.1,-1.02202,La
37_La_44,3_Sn_59,-438.05173,-465.89993,-465.40993,-22.51,-22.76,-7.04,-7.03,-1.8182,0.62,0.11,-0.24,0.49,-1.1832,-0.1,-1.1832,La
37_La_44,4_Sn_62,-438.05173,-465.65598,-465.16598,-22.51,-22.76,-7.04,-7.03,-1.57425,0.62,0.11,-0.24,0.49,-0.93925,-0.1,-0.93925,La
39_Sn_48,1_Sn_49,-438.05173,-464.74069,-464.25069,-22.51,-22.76,-7.04,-7.03,-0.65896,0.62,0.11,-0.24,0.49,-0.02396,-0.1,-0.02396,Sn
39_Sn_48,2_Sn_50,-438.05173,-464.49842,-464.00842,-22.51,-22.76,-7.04,-7.03,-0.41669,0.62,0.11,-0.24,0.49,0.21831,-0.1,0.21831,Sn
40_Sn_49,1_Sn_50,-438.05173,-464.80872,-464.31872,-22.51,-22.76,-7.04,-7.03,-0.72699,0.62,0.11,-0.24,0.49,-0.09199,-0.1,-0.09199,Sn
40_Sn_49,2_Sn_62,-438.05173,-464.8205,-464.3305,-22.51,-22.76,-7.04,-7.03,-0.73877,0.62,0.11,-0.24,0.49,-0.10377,-0.1,-0.10377,Sn
44_Sn_54,1_Sn_57,-438.05173,-465.96366,-465.47366,-22.51,-22.76,-7.04,-7.03,-1.88193,0.62,0.11,-0.24,0.49,-1.24693,-0.1,-1.24693,La
46_Sn_58,1_Sn_59,-438.05173,-465.87268,-465.38268,-22.51,-22.76,-7.04,-7.03,-1.79095,0.62,0.11,-0.24,0.49,-1.15595,-0.1,-1.15595,La
50_Sn_63,1_Sn_66,-438.05173,-464.70245,-464.21245,-22.51,-22.76,-7.04,-7.03,-0.62072,0.62,0.11,-0.24,0.49,0.01428,-0.1,0.01428,Sn
50_Sn_63,2_Sn_67,-438.05173,-464.84139,-464.35139,-22.51,-22.76,-7.04,-7.03,-0.75966,0.62,0.11,-0.24,0.49,-0.12466,-0.1,-0.12466,Sn
51_Sn_64,1_Sn_66,-438.05173,-464.65164,-464.16164,-22.51,-22.76,-7.04,-7.03,-0.56991,0.62,0.11,-0.24,0.49,0.06509,-0.1,0.06509,Sn
52_Sn_66,1_Sn_67,-438.05173,-464.91621,-464.42621,-22.51,-22.76,-7.04,-7.03,-0.83448,0.62,0.11,-0.24,0.49,-0.19948,-0.1,-0.19948,Sn
