Nearest_Atom,material_id_a,adsorbate_type_a,material_id_b,adsorbate_type_b,similarity,delta_G_OCHO,delta_G_H,flag_OCHO_vs_H
Bi,CONTCAR-26_Sn_52-3_Bi_60,OCHO,CONTCAR-18_Bi_60,H,0.9966303619770182,0.6048200000000082,0.4623500000000059,0.0
Bi,CONTCAR-30_Bi_56-1_Bi_60,OCHO,CONTCAR-18_Bi_60,H,1.0,0.3827199999999965,0.4623500000000059,1.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9899589490523589,-0.3868000000000035,-0.40949000000001423,0.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9245574936364565,-0.3868000000000035,-0.4704100000000243,0.0
Co,CONTCAR-13_Co_22-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9899589490523589,-0.3868000000000035,-0.4019700000000147,0.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-15_Co_22,H,0.9589820448250584,-0.9097200000000026,-0.40949000000001423,1.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-16_Co_24,H,0.9760909842722533,-0.9097200000000026,-0.4704100000000243,1.0
Co,CONTCAR-13_Co_22-3_Co_24,OCHO,CONTCAR-5_La_4,H,0.9589820448250584,-0.9097200000000026,-0.4019700000000147,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-15_Co_22,H,0.9569355583197865,-0.8535900000000066,-0.40949000000001423,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-16_Co_24,H,0.9734118647579966,-0.8535900000000066,-0.4704100000000243,1.0
Co,CONTCAR-14_Co_24-2_Sn_52,OCHO,CONTCAR-5_La_4,H,0.9569355583197865,-0.8535900000000066,-0.4019700000000147,1.0
La,CONTCAR-10_La_11-1_Bi_58,OCHO,CONTCAR-4_Sn_44,H,0.9220947317783973,-0.6259900000000113,0.05142999999997311,1.0
La,CONTCAR-10_La_11-2_Ni_38,OCHO,CONTCAR-12_La_11,H,0.9696394248621556,-1.045820000000002,0.8754200000000111,1.0
La,CONTCAR-10_La_11-3_Sn_41,OCHO,CONTCAR-12_La_11,H,0.9188970242966273,-0.7787500000000119,0.8754200000000111,1.0
La,CONTCAR-10_La_11-4_Sn_48,OCHO,CONTCAR-4_Sn_44,H,0.9624960447034674,-1.014639999999996,0.05142999999997311,1.0
La,CONTCAR-10_La_11-5_Bi_64,OCHO,CONTCAR-12_La_11,H,0.9777993243617363,-0.7514300000000372,0.8754200000000111,1.0
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-12_La_11,H,0.9502431989359278,-1.049940000000002,0.8754200000000111,1.0
La,CONTCAR-10_La_11-6_Bi_59,OCHO,CONTCAR-17_Bi_59,H,0.9363493380287009,-1.049940000000002,0.5203499999999986,1.0
La,CONTCAR-10_La_11-7_Sn_44,OCHO,CONTCAR-4_Sn_44,H,0.9442992627452625,-0.6781600000000009,0.05142999999997311,1.0
La,CONTCAR-11_La_12-1_Bi_56,OCHO,CONTCAR-19_Bi_61,H,0.9072585660520462,-0.7377799999999962,0.36885999999997476,1.0
La,CONTCAR-11_La_12-2_Bi_61,OCHO,CONTCAR-19_Bi_61,H,0.9043345390923773,-1.026200000000027,0.36885999999997476,1.0
La,CONTCAR-11_La_12-3_Sn_52,OCHO,CONTCAR-19_Bi_61,H,0.9561195772386062,-0.6393000000000012,0.36885999999997476,1.0
La,CONTCAR-11_La_12-5_Bi_62,OCHO,CONTCAR-13_La_12,H,0.9316639618046666,-1.053470000000014,0.894960000000017,1.0
La,CONTCAR-12_La_13-3_Bi_55,OCHO,CONTCAR-14_La_13,H,0.9214482970754265,-0.6831200000000405,0.5593899999999986,1.0
La,CONTCAR-12_La_13-4_Sn_47,OCHO,CONTCAR-25_Bi_67,H,0.9626917692392158,-0.7025400000000087,0.81641000000001,1.0
La,CONTCAR-12_La_13-5_Bi_64,OCHO,CONTCAR-14_La_13,H,0.9478808830243775,-0.7660300000000103,0.5593899999999986,1.0
La,CONTCAR-15_Ni_38-1_Bi_56,OCHO,CONTCAR-12_La_11,H,0.9158073390541623,-0.5039699999999908,0.8754200000000111,1.0
La,CONTCAR-15_Ni_38-2_Bi_55,OCHO,CONTCAR-12_La_11,H,0.9158073390541623,-0.4808600000000166,0.8754200000000111,1.0
La,CONTCAR-15_Ni_38-4_Bi_64,OCHO,CONTCAR-12_La_11,H,0.9777993243617363,-0.7495000000000215,0.8754200000000111,1.0
La,CONTCAR-16_Ni_39-1_Bi_61,OCHO,CONTCAR-11_Ni_39,H,0.9800107855689353,-1.743630000000006,-0.6637900000000149,1.0
La,CONTCAR-16_Ni_39-1_Bi_61,OCHO,CONTCAR-3_La_2,H,0.9002804039292805,-1.743630000000006,-0.6646299999999973,1.0
La,CONTCAR-16_Ni_39-1_Bi_61,OCHO,CONTCAR-5_Sn_45,H,0.9002804039292805,-1.743630000000006,-0.6629899999999883,1.0
La,CONTCAR-16_Ni_39-2_Bi_62,OCHO,CONTCAR-11_Ni_39,H,0.9790764641375859,-1.814480000000013,-0.6637900000000149,1.0
La,CONTCAR-17_Sn_40-3_Sn_43,OCHO,CONTCAR-1_Sn_40,H,1.0,-0.7304199999999906,0.2044200000000184,1.0
La,CONTCAR-18_Sn_41-3_Bi_58,OCHO,CONTCAR-12_La_11,H,0.9188970242966273,-0.779790000000001,0.8754200000000111,1.0
La,CONTCAR-1_La_0-1_Bi_54,OCHO,CONTCAR-1_La_0,H,0.9003514101926137,-1.196100000000011,-0.07427000000002168,1.0
La,CONTCAR-1_La_0-2_Bi_63,OCHO,CONTCAR-1_La_0,H,0.9591948244265724,-0.8058100000000178,-0.07427000000002168,1.0
La,CONTCAR-1_La_0-4_Sn_45,OCHO,CONTCAR-1_La_0,H,0.9360942659181228,-1.284920000000009,-0.07427000000002168,1.0
La,CONTCAR-1_La_0-6_La_6,OCHO,CONTCAR-7_La_6,H,0.9010673182582042,-0.8617300000000324,0.0440199999999801,1.0
La,CONTCAR-20_Sn_44-1_Bi_58,OCHO,CONTCAR-4_Sn_44,H,0.9624960447034674,-0.687740000000029,0.05142999999997311,1.0
La,CONTCAR-20_Sn_44-2_Sn_48,OCHO,CONTCAR-4_Sn_44,H,0.9624960447034674,-1.036470000000018,0.05142999999997311,1.0
La,CONTCAR-22_Sn_47-1_Bi_67,OCHO,CONTCAR-6_La_5,H,0.96548771482307,-2.173200000000018,-0.39776999999998885,1.0
La,CONTCAR-26_Sn_52-1_Bi_56,OCHO,CONTCAR-19_Bi_61,H,0.9534422093928471,-0.6243299999999959,0.36885999999997476,1.0
La,CONTCAR-26_Sn_52-2_Bi_61,OCHO,CONTCAR-19_Bi_61,H,0.9842889410184641,-0.6520100000000281,0.36885999999997476,1.0
La,CONTCAR-29_Bi_55-1_Bi_56,OCHO,CONTCAR-19_Bi_61,H,0.9006391456633108,-0.7275000000000301,0.36885999999997476,1.0
La,CONTCAR-2_La_1-1_Bi_63,OCHO,CONTCAR-2_La_1,H,0.9380738066334892,-1.304690000000003,0.6606500000000234,1.0
La,CONTCAR-31_Bi_57-1_Bi_59,OCHO,CONTCAR-15_Bi_57,H,0.9358332220649713,-0.6648400000000362,0.3928500000000009,1.0
La,CONTCAR-31_Bi_57-1_Bi_59,OCHO,CONTCAR-9_La_8,H,0.9358332220649713,-0.6648400000000362,0.3906299999999784,1.0
La,CONTCAR-3_La_2-2_Ni_39,OCHO,CONTCAR-11_Ni_39,H,0.9741642100768564,-1.87745000000002,-0.6637900000000149,1.0
La,CONTCAR-3_La_2-7_La_7,OCHO,CONTCAR-2_La_1,H,0.9049299535360711,-1.612840000000015,0.6606500000000234,1.0
La,CONTCAR-5_La_4-1_Bi_61,OCHO,CONTCAR-11_Ni_39,H,0.9790764641375859,-1.791270000000007,-0.6637900000000149,1.0
La,CONTCAR-5_La_4-4_Ni_39,OCHO,CONTCAR-11_Ni_39,H,0.9790764641375859,-1.769440000000041,-0.6637900000000149,1.0
La,CONTCAR-6_La_5-2_La_7,OCHO,CONTCAR-6_La_5,H,0.96548771482307,-2.173100000000043,-0.39776999999998885,1.0
La,CONTCAR-6_La_5-3_Sn_50,OCHO,CONTCAR-6_La_5,H,0.96548771482307,-2.176170000000023,-0.39776999999998885,1.0
La,CONTCAR-7_La_6-1_Co_24,OCHO,CONTCAR-1_La_0,H,0.9214596038980476,-1.183180000000003,-0.07427000000002168,1.0
La,CONTCAR-7_La_6-5_Sn_43,OCHO,CONTCAR-1_Sn_40,H,1.0,-0.7410800000000205,0.2044200000000184,1.0
La,CONTCAR-8_La_7-2_Sn_47,OCHO,CONTCAR-6_La_5,H,0.96548771482307,-2.179309999999997,-0.39776999999998885,1.0
Sn,CONTCAR-18_Sn_41-1_Bi_56,OCHO,CONTCAR-14_Bi_56,H,0.9986704664432652,0.1909099999999642,0.44564999999999155,1.0
Sn,CONTCAR-18_Sn_41-1_Bi_56,OCHO,CONTCAR-2_Sn_41,H,1.0,0.1909099999999642,0.4499099999999795,1.0
Sn,CONTCAR-18_Sn_41-2_Bi_60,OCHO,CONTCAR-14_Bi_56,H,0.9146769971044781,0.1927299999999735,0.44564999999999155,1.0
Sn,CONTCAR-18_Sn_41-2_Bi_60,OCHO,CONTCAR-2_Sn_41,H,0.9160459180493791,0.1927299999999735,0.4499099999999795,1.0
Sn,CONTCAR-19_Sn_43-2_Sn_53,OCHO,CONTCAR-11_Sn_53,H,1.0,-0.06531000000002055,0.12909000000001028,1.0
Sn,CONTCAR-24_Sn_50-2_Bi_66,OCHO,CONTCAR-8_Sn_50,H,0.9712895886141301,0.3762699999999671,0.5903299999999855,1.0
Sn,CONTCAR-24_Sn_50-2_Bi_66,OCHO,CONTCAR-9_Sn_51,H,0.9717202479741164,0.3762699999999671,0.3613000000000194,0.0
Sn,CONTCAR-25_Sn_51-1_Sn_53,OCHO,CONTCAR-11_Sn_53,H,0.9974282623221371,0.01902999999997687,0.12909000000001028,1.0
Sn,CONTCAR-27_Sn_53-1_Bi_63,OCHO,CONTCAR-11_Sn_53,H,0.9974282623221371,-0.04406000000001145,0.12909000000001028,1.0
